Previous_Crop,Soil_pH,Soil_Moisture,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Recommended_Next_Crop
Sugarcane,7.13,72.21,179,179,12,41.7,44.93,131.13,Rice
Barley,4.97,69.1,181,116,62,40.51,82.99,122.93,Potato
Potato,7.7,81.44,2,9,12,20.58,24.01,371.11,Barley
Soybean,4.99,45.84,95,121,128,36.28,35.72,286.37,Wheat
Sugarcane,7.29,52.44,196,37,39,39.79,36.85,381.99,Rice
Peanut,6.16,43.26,135,43,164,33.74,99.44,34.95,Sugarcane
Maize,6.56,78.03,13,94,30,18.77,65.66,242.61,Wheat
Sugarcane,8.11,28.38,119,73,16,43.38,31.12,161.89,Rice
Potato,8.06,29.18,130,181,136,25.78,41.78,424.97,Barley
Soybean,7.77,39.81,151,112,108,14.54,33.43,353.89,Wheat
Barley,6.54,28.43,12,50,63,13.84,29.97,434.63,Potato
Potato,7.44,54.88,170,51,56,32.66,83.77,23.21,Barley
Potato,6.55,20.76,156,197,140,25.32,59.66,360.41,Barley
Maize,7.98,35.61,71,91,164,13.31,70.5,270.0,Wheat
Cotton,6.11,83.08,178,58,141,35.91,46.5,412.5,Peanut
Soybean,8.38,42.74,169,12,24,37.98,64.3,253.58,Wheat
Rice,8.23,69.86,158,168,121,35.39,40.61,270.1,Maize
Potato,7.47,19.08,190,11,77,17.08,44.64,25.88,Barley
Cotton,5.62,29.81,153,49,56,34.14,72.18,334.26,Peanut
Rice,5.03,74.59,145,56,70,10.38,32.03,136.57,Maize
Soybean,7.92,71.04,81,177,87,20.68,69.38,9.85,Wheat
Wheat,5.16,40.89,56,118,112,23.96,88.18,33.22,Soybean
Peanut,7.92,86.35,6,56,99,39.23,29.63,478.64,Sugarcane
Cotton,6.46,82.85,111,181,169,23.66,91.8,173.04,Peanut
Tomato,6.13,86.98,47,193,169,10.39,26.36,434.04,Cotton
Wheat,8.11,44.23,79,7,46,22.33,47.91,479.84,Soybean
Peanut,6.92,25.8,118,105,115,27.46,68.84,471.63,Sugarcane
Maize,6.81,60.13,119,190,171,43.22,64.75,440.86,Wheat
Sugarcane,6.74,64.78,59,136,168,42.94,27.71,447.42,Rice
Barley,5.98,20.04,32,187,130,16.33,83.91,144.5,Potato
Tomato,7.64,72.92,114,119,89,16.48,97.85,75.73,Cotton
Maize,5.51,11.44,127,62,110,15.72,34.5,319.63,Wheat
Soybean,8.26,48.62,2,71,89,37.61,91.61,244.05,Wheat
Maize,8.08,36.48,3,130,128,10.21,64.54,49.37,Wheat
Sugarcane,5.85,69.22,99,12,138,14.45,94.87,338.77,Rice
Soybean,7.42,35.02,3,136,134,28.83,34.09,281.43,Wheat
Tomato,6.79,76.14,41,51,11,18.66,83.36,431.53,Cotton
Sugarcane,5.85,57.6,8,61,165,13.23,24.78,304.59,Rice
Rice,8.45,73.51,50,118,181,22.6,90.66,286.97,Maize
Barley,4.6,89.15,144,108,194,19.6,73.93,220.38,Potato
Tomato,5.51,64.33,144,7,105,27.89,49.62,231.39,Cotton
Rice,6.58,88.8,96,94,121,44.27,35.24,477.19,Maize
Peanut,6.59,12.31,19,124,52,14.35,85.32,69.22,Sugarcane
Tomato,6.86,37.05,141,172,159,23.05,68.26,223.11,Cotton
Peanut,7.51,18.63,21,52,99,42.62,48.83,327.91,Sugarcane
Soybean,6.99,30.98,179,62,172,40.69,55.51,216.51,Wheat
Rice,6.9,77.11,26,94,178,23.8,86.12,141.61,Maize
Barley,4.71,12.59,42,80,36,34.46,47.11,143.68,Potato
Sugarcane,6.01,51.61,130,56,118,13.07,27.17,116.83,Rice
